Year,Patient County,PQI Number,PQI Name,"Observed Rate Per 100,000 People","Expected Rate Per 100,000 People"
2012,CORTLAND,PQI_92,Prevention Quality Chronic Composite,1145.76,697.73
2009,CORTLAND,PQI_S01,Prevention Quality All Diabetes Composite,151.58,152.13
2010,CORTLAND,PQI_S01,Prevention Quality All Diabetes Composite,148.61,148.94
2011,CORTLAND,PQI_S01,Prevention Quality All Diabetes Composite,182.05,155.21
2012,CORTLAND,PQI_S01,Prevention Quality All Diabetes Composite,169.95,151.47
2009,CORTLAND,PQI_S02,Prevention Quality All Circulatory Composite,368.39,360.25
2010,CORTLAND,PQI_S02,Prevention Quality All Circulatory Composite,341.55,324.28
2011,CORTLAND,PQI_S02,Prevention Quality All Circulatory Composite,393.47,312.29
2012,CORTLAND,PQI_S02,Prevention Quality All Circulatory Composite,466.07,294.47
2009,CORTLAND,PQI_S03,Prevention Quality All Respiratory Composite,297.88,286.44
2010,CORTLAND,PQI_S03,Prevention Quality All Respiratory Composite,406.78,260.59
2011,CORTLAND,PQI_S03,Prevention Quality All Respiratory Composite,465.74,269.5
2012,CORTLAND,PQI_S03,Prevention Quality All Respiratory Composite,509.85,251.9
2009,DELAWARE,PQI_01,Diabetes Short-term Complications,18.92,37.73
2010,DELAWARE,PQI_01,Diabetes Short-term Complications,29.81,38.61
2011,DELAWARE,PQI_01,Diabetes Short-term Complications,19.58,41.91
2012,DELAWARE,PQI_01,Diabetes Short-term Complications,20.79,42.9
2009,DELAWARE,PQI_03,Diabetes Long-term Complications,73.15,112.42
2010,DELAWARE,PQI_03,Diabetes Long-term Complications,67.76,110.22
2011,DELAWARE,PQI_03,Diabetes Long-term Complications,64.35,116.93
2012,DELAWARE,PQI_03,Diabetes Long-term Complications,62.48,109.56
2009,DELAWARE,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,800.58,525.58
2010,DELAWARE,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,952.82,491.15
2011,DELAWARE,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,748.55,483.01
2012,DELAWARE,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,566.72,448.69
2009,DELAWARE,PQI_07,Hypertension,65.01,49.06
2010,DELAWARE,PQI_07,Hypertension,37.95,49.28
2011,DELAWARE,PQI_07,Hypertension,44.77,51.26
2012,DELAWARE,PQI_07,Hypertension,31.24,50.93
2009,DELAWARE,PQI_08,Heart Failure,484.66,419.98
2010,DELAWARE,PQI_08,Heart Failure,528.66,382.25
2011,DELAWARE,PQI_08,Heart Failure,511.61,363.22
2012,DELAWARE,PQI_08,Heart Failure,387.97,339.57
2009,DELAWARE,PQI_10,Dehydration,278.96,165.99
2010,DELAWARE,PQI_10,Dehydration,187,147.07
2011,DELAWARE,PQI_10,Dehydration,187.33,144.98
2012,DELAWARE,PQI_10,Dehydration,143.22,131.89
2009,DELAWARE,PQI_11,Bacterial Pneumonia,500.94,341.33
2010,DELAWARE,PQI_11,Bacterial Pneumonia,539.44,303.27
2011,DELAWARE,PQI_11,Bacterial Pneumonia,475.31,313.39
2012,DELAWARE,PQI_11,Bacterial Pneumonia,440,281.38
2009,DELAWARE,PQI_12,Urinary Tract Infection,268.07,188.98
2010,DELAWARE,PQI_12,Urinary Tract Infection,287.32,191.73
2011,DELAWARE,PQI_12,Urinary Tract Infection,285.23,187.33
2012,DELAWARE,PQI_12,Urinary Tract Infection,226.49,179.3
2009,DELAWARE,PQI_13,Angina Without Procedure,40.59,28.49
2010,DELAWARE,PQI_13,Angina Without Procedure,46.09,23.32
2011,DELAWARE,PQI_13,Angina Without Procedure,50.38,21.23
2012,DELAWARE,PQI_13,Angina Without Procedure,12.98,19.14
2009,DELAWARE,PQI_14,Uncontrolled Diabetes,35.2,19.25
2010,DELAWARE,PQI_14,Uncontrolled Diabetes,13.53,17.05
2011,DELAWARE,PQI_14,Uncontrolled Diabetes,16.83,16.28
2012,DELAWARE,PQI_14,Uncontrolled Diabetes,10.45,15.51
2009,DELAWARE,PQI_15,Asthma in Younger Adults,97.35,57.2
2010,DELAWARE,PQI_15,Asthma in Younger Adults,0,45.54
2011,DELAWARE,PQI_15,Asthma in Younger Adults,37.51,45.87
2012,DELAWARE,PQI_15,Asthma in Younger Adults,17.49,44.11
2009,DELAWARE,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,8.14,13.09
2010,DELAWARE,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,13.53,11.99
2011,DELAWARE,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,11.22,13.09
2012,DELAWARE,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,10.45,12.87
2009,DELAWARE,PQI_90,Prevention Quality Overall Composite,2336.84,1739.76
2010,DELAWARE,PQI_90,Prevention Quality Overall Composite,2374.68,1609.19
2011,DELAWARE,PQI_90,Prevention Quality Overall Composite,2194.72,1615.9
2012,DELAWARE,PQI_90,Prevention Quality Overall Composite,1746.91,1505.02
2009,DELAWARE,PQI_91,Prevention Quality Acute Composite,1047.97,696.19
2010,DELAWARE,PQI_91,Prevention Quality Acute Composite,1013.87,642.18
2011,DELAWARE,PQI_91,Prevention Quality Acute Composite,947.76,645.81
2012,DELAWARE,PQI_91,Prevention Quality Acute Composite,809.71,592.46
2009,DELAWARE,PQI_92,Prevention Quality Chronic Composite,1288.87,1043.68
2010,DELAWARE,PQI_92,Prevention Quality Chronic Composite,1360.81,967.12
2011,DELAWARE,PQI_92,Prevention Quality Chronic Composite,1246.96,970.2
2012,DELAWARE,PQI_92,Prevention Quality Chronic Composite,937.31,912.67
2009,DELAWARE,PQI_S01,Prevention Quality All Diabetes Composite,132.66,176.77
2010,DELAWARE,PQI_S01,Prevention Quality All Diabetes Composite,119.24,172.59
2011,DELAWARE,PQI_S01,Prevention Quality All Diabetes Composite,103.4,181.83
2012,DELAWARE,PQI_S01,Prevention Quality All Diabetes Composite,101.53,174.68
2009,DELAWARE,PQI_S02,Prevention Quality All Circulatory Composite,590.26,497.53
2010,DELAWARE,PQI_S02,Prevention Quality All Circulatory Composite,612.7,454.96
2011,DELAWARE,PQI_S02,Prevention Quality All Circulatory Composite,606.65,435.71
2012,DELAWARE,PQI_S02,Prevention Quality All Circulatory Composite,432.19,409.53
2009,DELAWARE,PQI_S03,Prevention Quality All Respiratory Composite,565.95,369.27
2010,DELAWARE,PQI_S03,Prevention Quality All Respiratory Composite,628.87,339.57
2011,DELAWARE,PQI_S03,Prevention Quality All Respiratory Composite,536.8,352.77
2012,DELAWARE,PQI_S03,Prevention Quality All Respiratory Composite,403.59,328.46
2009,DUTCHESS,PQI_01,Diabetes Short-term Complications,38.5,50.27
2010,DUTCHESS,PQI_01,Diabetes Short-term Complications,39.16,50.71
2011,DUTCHESS,PQI_01,Diabetes Short-term Complications,45.87,54.01
2012,DUTCHESS,PQI_01,Diabetes Short-term Complications,40.15,56.76
2009,DUTCHESS,PQI_03,Diabetes Long-term Complications,106.48,121.55
2010,DUTCHESS,PQI_03,Diabetes Long-term Complications,102.3,121.22
2011,DUTCHESS,PQI_03,Diabetes Long-term Complications,101.97,126.61
2012,DUTCHESS,PQI_03,Diabetes Long-term Complications,75.24,122.1
2009,DUTCHESS,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,491.04,501.38
2010,DUTCHESS,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,427.9,469.04
2011,DUTCHESS,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,425.15,469.7
2012,DUTCHESS,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,413.05,453.64
2009,DUTCHESS,PQI_07,Hypertension,57.42,60.61
2011,DUTCHESS,PQI_07,Hypertension,55.99,61.71
2012,DUTCHESS,PQI_07,Hypertension,39.38,62.26
2009,DUTCHESS,PQI_08,Heart Failure,315.48,330.11
2010,DUTCHESS,PQI_08,Heart Failure,277.86,300.74
2011,DUTCHESS,PQI_08,Heart Failure,324.28,298.43
2012,DUTCHESS,PQI_08,Heart Failure,252.45,291.72
2009,DUTCHESS,PQI_10,Dehydration,142.78,130.35
2010,DUTCHESS,PQI_10,Dehydration,119.79,117.92
2011,DUTCHESS,PQI_10,Dehydration,139.92,118.03
2012,DUTCHESS,PQI_10,Dehydration,87.78,111.54
2009,DUTCHESS,PQI_11,Bacterial Pneumonia,254.98,268.62
2010,DUTCHESS,PQI_11,Bacterial Pneumonia,207.35,235.07
2011,DUTCHESS,PQI_11,Bacterial Pneumonia,253.33,251.35
2012,DUTCHESS,PQI_11,Bacterial Pneumonia,227.81,230.34
2009,DUTCHESS,PQI_12,Urinary Tract Infection,139.81,153.23
2010,DUTCHESS,PQI_12,Urinary Tract Infection,131.56,154.88
2011,DUTCHESS,PQI_12,Urinary Tract Infection,121.77,155.76
2012,DUTCHESS,PQI_12,Urinary Tract Infection,115.83,154
2009,DUTCHESS,PQI_13,Angina Without Procedure,11.44,28.82
2010,DUTCHESS,PQI_13,Angina Without Procedure,14.41,23.87
2011,DUTCHESS,PQI_13,Angina Without Procedure,6.16,21.34
2012,DUTCHESS,PQI_13,Angina Without Procedure,8.69,19.47
2009,DUTCHESS,PQI_14,Uncontrolled Diabetes,17.49,27.72
2010,DUTCHESS,PQI_14,Uncontrolled Diabetes,16.94,23.87
2011,DUTCHESS,PQI_14,Uncontrolled Diabetes,14.52,22.33
2012,DUTCHESS,PQI_14,Uncontrolled Diabetes,11.66,21.67
2009,DUTCHESS,PQI_15,Asthma in Younger Adults,47.3,77.88
2010,DUTCHESS,PQI_15,Asthma in Younger Adults,38.94,61.16
2011,DUTCHESS,PQI_15,Asthma in Younger Adults,39.71,61.27
2012,DUTCHESS,PQI_15,Asthma in Younger Adults,54.45,62.92
2009,DUTCHESS,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,15.73,12.87
2010,DUTCHESS,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,11.33,12.21
2011,DUTCHESS,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,6.16,13.09
2012,DUTCHESS,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,5.17,13.53
2009,DUTCHESS,PQI_90,Prevention Quality Overall Composite,1416.91,1518.77
2010,DUTCHESS,PQI_90,Prevention Quality Overall Composite,1263.46,1408.66
2011,DUTCHESS,PQI_90,Prevention Quality Overall Composite,1355.53,1440.67
2012,DUTCHESS,PQI_90,Prevention Quality Overall Composite,1147.3,1390.73
2009,DUTCHESS,PQI_91,Prevention Quality Acute Composite,537.57,552.2
2010,DUTCHESS,PQI_91,Prevention Quality Acute Composite,458.59,507.76
2011,DUTCHESS,PQI_91,Prevention Quality Acute Composite,514.91,525.25
2012,DUTCHESS,PQI_91,Prevention Quality Acute Composite,431.42,495.77
2009,DUTCHESS,PQI_92,Prevention Quality Chronic Composite,879.78,966.57
2010,DUTCHESS,PQI_92,Prevention Quality Chronic Composite,804.87,900.9
2011,DUTCHESS,PQI_92,Prevention Quality Chronic Composite,840.62,915.42
2012,DUTCHESS,PQI_92,Prevention Quality Chronic Composite,715.88,894.96
2009,DUTCHESS,PQI_S01,Prevention Quality All Diabetes Composite,173.03,206.58
2010,DUTCHESS,PQI_S01,Prevention Quality All Diabetes Composite,164.23,202.51
2011,DUTCHESS,PQI_S01,Prevention Quality All Diabetes Composite,165.88,209.66
2012,DUTCHESS,PQI_S01,Prevention Quality All Diabetes Composite,130.57,207.68
2009,DUTCHESS,PQI_S02,Prevention Quality All Circulatory Composite,384.23,419.54
2010,DUTCHESS,PQI_S02,Prevention Quality All Circulatory Composite,360.58,384.56
2011,DUTCHESS,PQI_S02,Prevention Quality All Circulatory Composite,386.54,381.37
2012,DUTCHESS,PQI_S02,Prevention Quality All Circulatory Composite,300.41,373.34
2009,DUTCHESS,PQI_S03,Prevention Quality All Respiratory Composite,322.41,340.56
2010,DUTCHESS,PQI_S03,Prevention Quality All Respiratory Composite,280.06,313.94
2011,DUTCHESS,PQI_S03,Prevention Quality All Respiratory Composite,288.09,324.5
2012,DUTCHESS,PQI_S03,Prevention Quality All Respiratory Composite,284.9,313.94
2009,ERIE,PQI_01,Diabetes Short-term Complications,67.1,50.93
2010,ERIE,PQI_01,Diabetes Short-term Complications,66.33,51.37
2011,ERIE,PQI_01,Diabetes Short-term Complications,71.5,55.44
2012,ERIE,PQI_01,Diabetes Short-term Complications,80.52,57.31
2009,ERIE,PQI_03,Diabetes Long-term Complications,120.23,135.52
2010,ERIE,PQI_03,Diabetes Long-term Complications,112.75,132.44
2011,ERIE,PQI_03,Diabetes Long-term Complications,106.48,134.75
2012,ERIE,PQI_03,Diabetes Long-term Complications,107.36,127.82
2009,ERIE,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,442.64,552.75
2010,ERIE,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,397.76,512.6
2011,ERIE,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,402.49,518.32
2012,ERIE,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,374.77,489.83
2009,ERIE,PQI_07,Hypertension,37.4,69.74
2010,ERIE,PQI_07,Hypertension,38.17,68.31
2011,ERIE,PQI_07,Hypertension,33.11,68.97
2012,ERIE,PQI_07,Hypertension,39.93,69.19
2009,ERIE,PQI_08,Heart Failure,428.78,417.89
2010,ERIE,PQI_08,Heart Failure,401.94,373.23
2011,ERIE,PQI_08,Heart Failure,348.81,361.9
2012,ERIE,PQI_08,Heart Failure,311.96,342.54
2009,ERIE,PQI_10,Dehydration,114.51,157.08
2010,ERIE,PQI_10,Dehydration,115.39,139.26
2011,ERIE,PQI_10,Dehydration,117.15,137.61
2012,ERIE,PQI_10,Dehydration,114.73,126.83
2009,ERIE,PQI_11,Bacterial Pneumonia,260.15,316.14
2010,ERIE,PQI_11,Bacterial Pneumonia,224.07,275.33
2011,ERIE,PQI_11,Bacterial Pneumonia,209.66,287.43
2012,ERIE,PQI_11,Bacterial Pneumonia,195.47,258.72
2009,ERIE,PQI_12,Urinary Tract Infection,135.96,187.99
2010,ERIE,PQI_12,Urinary Tract Infection,118.69,186.89
2011,ERIE,PQI_12,Urinary Tract Infection,108.24,185.46
2012,ERIE,PQI_12,Urinary Tract Infection,105.82,177.98
2009,ERIE,PQI_13,Angina Without Procedure,27.5,31.24
2010,ERIE,PQI_13,Angina Without Procedure,23.98,25.63
2011,ERIE,PQI_13,Angina Without Procedure,19.58,22.33
2012,ERIE,PQI_13,Angina Without Procedure,19.25,20.35
2009,ERIE,PQI_14,Uncontrolled Diabetes,15.51,29.04
2010,ERIE,PQI_14,Uncontrolled Diabetes,14.19,24.86
2011,ERIE,PQI_14,Uncontrolled Diabetes,12.32,23.32
2012,ERIE,PQI_14,Uncontrolled Diabetes,15.95,22.77
2009,ERIE,PQI_15,Asthma in Younger Adults,57.31,79.97
2010,ERIE,PQI_15,Asthma in Younger Adults,45.32,63.25
2011,ERIE,PQI_15,Asthma in Younger Adults,42.13,62.37
2012,ERIE,PQI_15,Asthma in Younger Adults,41.14,62.81
2009,ERIE,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,14.41,14.63
2010,ERIE,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,14.63,13.53
2011,ERIE,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,12.98,14.08
2012,ERIE,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,17.6,14.3
2009,ERIE,PQI_90,Prevention Quality Overall Composite,1519.43,1786.51
2010,ERIE,PQI_90,Prevention Quality Overall Composite,1394.14,1635.37
2011,ERIE,PQI_90,Prevention Quality Overall Composite,1308.89,1641.31
2012,ERIE,PQI_90,Prevention Quality Overall Composite,1257.41,1549.9
2009,ERIE,PQI_91,Prevention Quality Acute Composite,510.62,661.21
2010,ERIE,PQI_91,Prevention Quality Acute Composite,458.15,601.59
2011,ERIE,PQI_91,Prevention Quality Acute Composite,435.05,610.5
2012,ERIE,PQI_91,Prevention Quality Acute Composite,416.13,563.42
2009,ERIE,PQI_92,Prevention Quality Chronic Composite,1008.81,1125.41
2010,ERIE,PQI_92,Prevention Quality Chronic Composite,935.99,1033.89
2011,ERIE,PQI_92,Prevention Quality Chronic Composite,873.84,1030.81
2012,ERIE,PQI_92,Prevention Quality Chronic Composite,841.28,986.59
2009,ERIE,PQI_S01,Prevention Quality All Diabetes Composite,210.98,223.74
2010,ERIE,PQI_S01,Prevention Quality All Diabetes Composite,201.3,216.15
2011,ERIE,PQI_S01,Prevention Quality All Diabetes Composite,197.56,220.99
2012,ERIE,PQI_S01,Prevention Quality All Diabetes Composite,213.18,215.38
2009,ERIE,PQI_S02,Prevention Quality All Circulatory Composite,493.68,518.87
2010,ERIE,PQI_S02,Prevention Quality All Circulatory Composite,464.09,467.17
2011,ERIE,PQI_S02,Prevention Quality All Circulatory Composite,401.5,453.2
2012,ERIE,PQI_S02,Prevention Quality All Circulatory Composite,371.14,432.19
2009,ERIE,PQI_S03,Prevention Quality All Respiratory Composite,304.15,382.91
2010,ERIE,PQI_S03,Prevention Quality All Respiratory Composite,270.71,350.57
2011,ERIE,PQI_S03,Prevention Quality All Respiratory Composite,274.89,356.84
2012,ERIE,PQI_S03,Prevention Quality All Respiratory Composite,256.96,339.02
2009,ESSEX,PQI_01,Diabetes Short-term Complications,48.62,40.7
2010,ESSEX,PQI_01,Diabetes Short-term Complications,22.77,41.36
2011,ESSEX,PQI_01,Diabetes Short-term Complications,23.21,44.88
2012,ESSEX,PQI_01,Diabetes Short-term Complications,49.94,45.43
2009,ESSEX,PQI_03,Diabetes Long-term Complications,74.58,107.36
2012,FRANKLIN,PQI_10,Dehydration,59.84,132.33
2010,ESSEX,PQI_03,Diabetes Long-term Complications,97.79,105.71
2011,ESSEX,PQI_03,Diabetes Long-term Complications,79.53,111.1
2012,ESSEX,PQI_03,Diabetes Long-term Complications,59.29,105.71
2009,ESSEX,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,514.36,496.43
2010,ESSEX,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,476.96,460.35
2011,ESSEX,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,392.92,453.97
2012,ESSEX,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,349.69,425.37
2009,ESSEX,PQI_07,Hypertension,51.92,48.73
2010,ESSEX,PQI_07,Hypertension,9.79,48.51
2011,ESSEX,PQI_07,Hypertension,23.21,49.61
2012,ESSEX,PQI_07,Hypertension,15.62,49.5
2009,ESSEX,PQI_08,Heart Failure,295.24,377.41
2010,ESSEX,PQI_08,Heart Failure,273.9,339.13
2011,ESSEX,PQI_08,Heart Failure,288.42,320.32
2012,ESSEX,PQI_08,Heart Failure,259.16,299.75
2009,ESSEX,PQI_10,Dehydration,126.5,152.79
2010,ESSEX,PQI_10,Dehydration,149.93,134.75
2011,ESSEX,PQI_10,Dehydration,96.14,131.67
2012,ESSEX,PQI_10,Dehydration,68.64,119.79
2009,ESSEX,PQI_11,Bacterial Pneumonia,451,312.62
2010,ESSEX,PQI_11,Bacterial Pneumonia,400.95,274.34
2011,ESSEX,PQI_11,Bacterial Pneumonia,271.81,282.59
2012,ESSEX,PQI_11,Bacterial Pneumonia,246.62,253
2009,ESSEX,PQI_12,Urinary Tract Infection,129.8,172.37
2010,ESSEX,PQI_12,Urinary Tract Infection,107.58,172.92
2011,ESSEX,PQI_12,Urinary Tract Infection,69.63,167.86
2012,ESSEX,PQI_12,Urinary Tract Infection,131.12,160.49
2009,ESSEX,PQI_13,Angina Without Procedure,12.98,27.28
2010,ESSEX,PQI_13,Angina Without Procedure,26.07,22.44
2011,ESSEX,PQI_13,Angina Without Procedure,19.91,20.13
2012,ESSEX,PQI_13,Angina Without Procedure,12.54,18.15
2009,ESSEX,PQI_14,Uncontrolled Diabetes,9.68,19.8
2010,ESSEX,PQI_14,Uncontrolled Diabetes,16.28,17.49
2011,ESSEX,PQI_14,Uncontrolled Diabetes,13.31,16.39
2012,ESSEX,PQI_14,Uncontrolled Diabetes,6.27,15.84
2009,ESSEX,PQI_15,Asthma in Younger Adults,9.13,59.07
2010,ESSEX,PQI_15,Asthma in Younger Adults,54.67,47.41
2011,ESSEX,PQI_15,Asthma in Younger Adults,20.35,46.75
2012,ESSEX,PQI_15,Asthma in Younger Adults,0,45.1
2009,ESSEX,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,16.17,12.21
2010,ESSEX,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,13.09,11.22
2011,ESSEX,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,23.21,12.1
2012,ESSEX,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,12.54,12.1
2009,ESSEX,PQI_90,Prevention Quality Overall Composite,1547.59,1606.44
2010,ESSEX,PQI_90,Prevention Quality Overall Composite,1437.7,1475.32
2011,ESSEX,PQI_90,Prevention Quality Overall Composite,1176.89,1472.13
2012,ESSEX,PQI_90,Prevention Quality Overall Composite,1089.66,1376.87
2009,ESSEX,PQI_91,Prevention Quality Acute Composite,707.3,637.78
2010,ESSEX,PQI_91,Prevention Quality Acute Composite,658.57,581.9
2011,ESSEX,PQI_91,Prevention Quality Acute Composite,437.58,582.12
2012,ESSEX,PQI_91,Prevention Quality Acute Composite,446.49,533.28
2009,ESSEX,PQI_92,Prevention Quality Chronic Composite,840.29,968.66
2010,ESSEX,PQI_92,Prevention Quality Chronic Composite,779.24,893.42
2011,ESSEX,PQI_92,Prevention Quality Chronic Composite,739.31,890.01
2012,ESSEX,PQI_92,Prevention Quality Chronic Composite,643.17,843.7
2009,ESSEX,PQI_S01,Prevention Quality All Diabetes Composite,145.97,174.79
2010,ESSEX,PQI_S01,Prevention Quality All Diabetes Composite,143.44,170.72
2011,ESSEX,PQI_S01,Prevention Quality All Diabetes Composite,135.96,178.31
2012,ESSEX,PQI_S01,Prevention Quality All Diabetes Composite,118.69,173.25
2009,ESSEX,PQI_S02,Prevention Quality All Circulatory Composite,360.14,453.53
2010,ESSEX,PQI_S02,Prevention Quality All Circulatory Composite,309.76,409.97
2011,ESSEX,PQI_S02,Prevention Quality All Circulatory Composite,331.54,390.06
2012,ESSEX,PQI_S02,Prevention Quality All Circulatory Composite,287.21,367.29
2009,ESSEX,PQI_S03,Prevention Quality All Respiratory Composite,334.18,340.56
2010,ESSEX,PQI_S03,Prevention Quality All Respiratory Composite,326.04,312.73
2011,ESSEX,PQI_S03,Prevention Quality All Respiratory Composite,271.81,321.64
2012,ESSEX,PQI_S03,Prevention Quality All Respiratory Composite,237.27,303.16
2009,FRANKLIN,PQI_01,Diabetes Short-term Complications,68.42,55.33
2010,FRANKLIN,PQI_01,Diabetes Short-term Complications,55.77,55.22
2011,FRANKLIN,PQI_01,Diabetes Short-term Complications,59.62,59.73
2012,FRANKLIN,PQI_01,Diabetes Short-term Complications,40.7,69.85
2009,FRANKLIN,PQI_03,Diabetes Long-term Complications,151.47,118.58
2010,FRANKLIN,PQI_03,Diabetes Long-term Complications,179.52,119.24
2011,FRANKLIN,PQI_03,Diabetes Long-term Complications,109.45,128.92
2012,FRANKLIN,PQI_03,Diabetes Long-term Complications,47.85,147.4
2009,FRANKLIN,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,1267.86,534.05
2010,FRANKLIN,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,1279.96,498.3
2011,FRANKLIN,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,1105.83,511.61
2012,FRANKLIN,PQI_05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,249.48,554.29
2009,FRANKLIN,PQI_07,Hypertension,73.26,60.06
2010,FRANKLIN,PQI_07,Hypertension,63.03,59.95
2011,FRANKLIN,PQI_07,Hypertension,64.68,63.14
2012,FRANKLIN,PQI_07,Hypertension,11.99,75.57
2009,FRANKLIN,PQI_08,Heart Failure,380.93,344.63
2010,FRANKLIN,PQI_08,Heart Failure,356.62,316.91
2011,FRANKLIN,PQI_08,Heart Failure,385.33,312.62
2012,FRANKLIN,PQI_08,Heart Failure,167.53,346.39
2009,FRANKLIN,PQI_10,Dehydration,139.15,140.14
2010,FRANKLIN,PQI_10,Dehydration,157.63,127.16
2011,FRANKLIN,PQI_10,Dehydration,104.39,127.16
2009,FRANKLIN,PQI_11,Bacterial Pneumonia,427.35,291.5
2010,FRANKLIN,PQI_11,Bacterial Pneumonia,446.38,255.53
2011,FRANKLIN,PQI_11,Bacterial Pneumonia,377.96,270.6
2012,FRANKLIN,PQI_11,Bacterial Pneumonia,133.98,276.87
2009,FRANKLIN,PQI_12,Urinary Tract Infection,202.73,165.66
2010,FRANKLIN,PQI_12,Urinary Tract Infection,249.81,166.98
2011,FRANKLIN,PQI_12,Urinary Tract Infection,171.6,168.41
2012,FRANKLIN,PQI_12,Urinary Tract Infection,43.12,188.32
2009,FRANKLIN,PQI_13,Angina Without Procedure,63.47,29.7
2010,FRANKLIN,PQI_13,Angina Without Procedure,26.73,24.53
2011,FRANKLIN,PQI_13,Angina Without Procedure,49.72,22.66
2012,FRANKLIN,PQI_13,Angina Without Procedure,16.72,23.65
2009,FRANKLIN,PQI_14,Uncontrolled Diabetes,9.79,27.83
2010,FRANKLIN,PQI_14,Uncontrolled Diabetes,21.78,24.75
2011,FRANKLIN,PQI_14,Uncontrolled Diabetes,22.33,22.44
2012,FRANKLIN,PQI_14,Uncontrolled Diabetes,9.57,26.51
2009,FRANKLIN,PQI_15,Asthma in Younger Adults,94.71,79.53
2010,FRANKLIN,PQI_15,Asthma in Younger Adults,128.81,64.9
2011,FRANKLIN,PQI_15,Asthma in Younger Adults,63.69,65.12
2012,FRANKLIN,PQI_15,Asthma in Younger Adults,0,73.81
2009,FRANKLIN,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,17.05,11.77
2010,FRANKLIN,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,24.31,11.33
2011,FRANKLIN,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,17.38,12.98
2012,FRANKLIN,PQI_16,Lower-Extremity Amputation among Patients with Diabetes,14.41,15.4
2009,FRANKLIN,PQI_90,Prevention Quality Overall Composite,2315.17,1586.31
2010,FRANKLIN,PQI_90,Prevention Quality Overall Composite,2370.06,1474.99
2011,FRANKLIN,PQI_90,Prevention Quality Overall Composite,2048.75,1519.43
2012,FRANKLIN,PQI_90,Prevention Quality Overall Composite,694.1,1663.53
2009,FRANKLIN,PQI_91,Prevention Quality Acute Composite,769.34,597.3
2010,FRANKLIN,PQI_91,Prevention Quality Acute Composite,853.93,549.67
2011,FRANKLIN,PQI_91,Prevention Quality Acute Composite,653.95,566.17
2012,FRANKLIN,PQI_91,Prevention Quality Acute Composite,236.94,597.41
2009,FRANKLIN,PQI_92,Prevention Quality Chronic Composite,1545.94,989.01
2010,FRANKLIN,PQI_92,Prevention Quality Chronic Composite,1516.13,925.32
2011,FRANKLIN,PQI_92,Prevention Quality Chronic Composite,1394.8,953.26
2012,FRANKLIN,PQI_92,Prevention Quality Chronic Composite,457.16,1066.12
2009,FRANKLIN,PQI_S01,Prevention Quality All Diabetes Composite,244.2,208.23
2010,FRANKLIN,PQI_S01,Prevention Quality All Diabetes Composite,266.86,205.37
2011,FRANKLIN,PQI_S01,Prevention Quality All Diabetes Composite,196.46,217.58
2012,FRANKLIN,PQI_S01,Prevention Quality All Diabetes Composite,107.69,251.9
